Temperature
4.3
6.8
6.7
6.6
11.5
12.6
14.0
14.4
13.4
9.0
5.2
4.9
4.5
4.2
6.2
8.3
11.4
12.4
15.9
14.8
14.2
9.8
6.8
3.6
4.3
5.0
6.5
6.7
10.8
13.1
14.1
15.2
13.4
9.2
5.8
4.6
2.6
3.4
4.1
6.7
11.4
12.6
15.3
15.2
12.3
12.2
6.8
3.1
5.0
5.5
6.5
8.2
10.8
13.2
14.4
15.6
13.2
8.7
7.5
4.8
3.7
3.4
6.7
8.9
10.7
14.6
16.2
16.5
13.1
8.2
7.4
4.3
4.4
4.4
5.7
8.5
11.1
14.0
14.4
16.1
13.4
9.4
7.1
5.0
5.3
3.7
6.4
7.9
10.0
14.1
15.3
14.9
13.8
11.7
5.6
4.2
3.9
3.5
3.9
7.4
10.7
14.5
17.8
15.0
15.2
11.7
7.2
5.5
5.9
5.2
6.3
10.2
10.7
13.7
14.3
14.4
12.6
10.3
6.9
4.4
5.3
4.9
5.1
7.1
12.2
12.9
15.3
15.1
12.5
8.7
6.2
3.1
2.8
3.7
6.1
8.9
10.9
13.7
15.2
15.4
13.2
10.4
7.3
2.1
0.9
1.9
5.1
8.0
9.8
14.2
15.6
14.2
12.8
9.4
4.3
-0.9
3.1
5.3
5.8
10.7
11.0
12.7
14.2
14.1
13.8
11.3
8.7
4.8
4.7
4.2
7.7
6.3
10.5
12.3
14.1
15.3
12.0
8.2
5.8
3.9
3.3
2.8
2.2
6.3
9.5
12.8
17.0
15.6
12.8
